,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
7,Connecticut,US,2020-11-13 05:30:30,41.5978,-72.7554,85899,4726,9800.0,71373.0,9.0,2409.31515471265,2663481.0,,5.501810265544418,84000009.0,USA,74705.9353146044,,2020-11-12
8,Delaware,US,2020-11-13 05:30:30,39.3185,-75.5071,27546,762,14487.0,12327.0,10.0,2828.8168385769045,604647.0,,2.6573731213243303,84000010.0,USA,62093.7927464971,,2020-11-12
9,Diamond Princess,US,2020-11-13 05:30:30,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,,2020-11-12
10,District of Columbia,US,2020-11-13 05:30:30,38.8974,-77.0268,18507,657,14103.0,3747.0,11.0,2622.3204000289056,571530.0,,3.5500081050413366,84000011.0,USA,80982.04885873022,,2020-11-12
11,Florida,US,2020-11-13 05:30:30,27.7663,-81.6868,863619,17372,,846247.0,12.0,4020.99625300375,10783307.0,,2.0115351792862364,84000012.0,USA,30234.623880532665,,2020-11-12
12,Georgia,US,2020-11-13 05:30:30,33.0406,-83.6431,416876,8881,,408473.0,13.0,3926.3388112162434,3807413.0,,2.015707308648135,84000013.0,USA,35860.04814916011,,2020-11-12
13,Grand Princess,US,2020-11-13 05:30:30,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999.0,USA,,,2020-11-12
14,Guam,US,2020-11-13 05:30:30,13.4443,144.7937,5850,91,3865.0,1894.0,66.0,3562.0992638328194,75449.0,,1.5555555555555556,316.0,GUM,45941.33800973032,,2020-11-12
15,Hawaii,US,2020-11-13 05:30:30,21.0943,-157.4983,16534,222,11958.0,4354.0,15.0,1167.7609275414727,580075.0,,1.342687794846982,84000015.0,USA,40969.45204086245,,2020-11-12
16,Idaho,US,2020-11-13 05:30:30,44.2405,-114.4788,78279,749,33715.0,43815.0,16.0,4380.310732961588,417446.0,,0.9568338890379284,84000016.0,USA,23359.307020169945,,2020-11-12
