,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
2488,New Jersey,US,2020-05-25 02:32:50,40.2989,-74.521,154402,11138,25040.0,117976.0,34.0,1735.5404466691211,603807.0,,7.225242290177356,84000034.0,USA,6797.951856467831,,2020-05-24,,
2489,New Mexico,US,2020-05-25 02:32:50,34.8405,-106.2485,6943,317,2357.0,4269.0,35.0,331.1190373654695,169119.0,1139.0,4.565749675932594,84000035.0,USA,8065.464565780041,16.405012242546448,2020-05-24,,
2490,New York,US,2020-05-25 02:32:50,42.1657,-74.9481,361515,29141,64080.0,268294.0,36.0,1858.3487105522736,1699826.0,77295.0,8.060799690192663,84000036.0,USA,8737.865524980234,21.380855566159077,2020-05-24,,
2491,North Carolina,US,2020-05-25 02:32:50,35.6301,-79.8064,23365,784,11637.0,10944.0,37.0,222.7766291726878,336656.0,,3.355446180184036,84000037.0,USA,3209.8903860800506,,2020-05-24,,
2492,North Dakota,US,2020-05-25 02:32:50,47.5289,-99.784,2418,53,1496.0,869.0,38.0,317.29701782794575,65488.0,152.0,2.1918941273779984,84000038.0,USA,8593.5265109663,6.2861869313482215,2020-05-24,,
2493,Northern Mariana Islands,US,2020-05-25 02:32:50,15.0979,145.6739,22,2,13.0,7.0,69.0,39.895546206296245,4757.0,,9.090909090909092,580.0,MNP,8626.505150152328,,2020-05-24,,
2494,Ohio,US,2020-05-25 02:32:50,40.3888,-82.7649,31911,1952,,29942.0,39.0,272.99792114020755,324553.0,5476.0,6.170286108238537,84000039.0,USA,2776.543959757381,17.160226881012818,2020-05-24,,
2495,Oklahoma,US,2020-05-25 02:32:50,35.5653,-96.9289,6037,311,4688.0,1038.0,40.0,152.56619267616568,160980.0,938.0,5.1515653470266685,84000040.0,USA,4068.263325659956,15.537518635083652,2020-05-24,,
2496,Oregon,US,2020-05-25 02:32:50,44.572,-122.0709,3927,148,1376.0,2403.0,41.0,93.10680111159135,112195.0,742.0,3.7687802393684753,84000041.0,USA,2660.0757704901944,18.894830659536538,2020-05-24,,
2497,Pennsylvania,US,2020-05-25 02:32:50,40.5908,-77.2098,71563,5136,40627.0,25800.0,42.0,558.9990742844725,446455.0,,7.176893087209871,84000042.0,USA,3094.0114071336884,,2020-05-24,,
2498,Puerto Rico,US,2020-05-25 02:32:50,18.2208,-66.5901,3189,127,,3062.0,72.0,108.71314184729843,3189.0,,3.982439636249608,630.0,PRI,108.71314184729843,,2020-05-24,,
2499,Rhode Island,US,2020-05-25 02:32:50,41.6809,-71.5118,14065,757,1119.0,12338.0,44.0,1327.68716235542,132701.0,1580.0,4.322787060078208,84000044.0,USA,12526.513624722827,11.233558478492712,2020-05-24,,
